numero_guia_consulta,cod_medico,nome_medico,data_consulta,valor_consulta
1707,85730,SANDRIELLY,2019-09-08,60.0
1720,47337,IZIQUIEL,2019-01-10,60.0
1721,49449,JULINHO,2019-02-11,60.0
1735,83845,ROSENILSO,2019-04-22,60.0
1740,31786,ETMAR,2018-02-05,60.0
759,4856,ALFA,2019-04-27,45
760,96551,WALDICE,2018-12-24,45
1741,87946,SINARA,2019-05-01,60.0
762,54430,JOSSILENE,2019-12-23,45
765,56310,KADMA,2019-03-21,45
766,76131,ODNALDO,2018-01-03,45
1756,74612,NILCIARA,2019-03-22,60.0
1757,26982,ELEDILZA,2019-10-26,60.0
1760,4892,ELFRIDES,2018-01-21,60.0
1761,25065,EDILEIDE,2019-05-12,60.0
1773,66050,MELIA,2019-06-26,60.0
773,61363,LEON,2018-05-20,45
775,35398,JAUDA,2018-06-02,45
776,44434,ILCE,2019-12-02,45
1789,39774,JOVANI,2019-06-04,60.0
778,60830,LUIDI,2018-12-01,45
783,6205,AMBROSINO,2018-04-08,45
784,72559,NATANIELA,2018-12-20,45
1795,29088,ELVILANE,2019-03-11,60.0
1804,7089,ANDRESSIA,2018-07-29,60.0
788,88624,STEFENI,2018-04-06,45
789,1918,ADMILSA,2019-11-24,45
1809,33355,FABIELI,2019-07-23,60.0
1812,57295,KAUANDER,2018-02-15,60.0
792,98053,WESLENE,2019-09-12,45
1814,44748,INDI,2019-02-26,60.0
1839,70070,MICHELE,2019-10-01,60.0
795,65949,MAICIRA,2018-09-24,45
1851,73780,NERILENE,2019-10-09,60.0
1863,82440,ROBETI,2018-12-02,60.0
798,9154,ARILDE,2018-02-11,45
1865,81563,RAULINA,2019-09-06,60.0
800,18349,DANIERE,2019-12-15,45
801,90232,TARCIANO,2018-04-07,45
802,47554,JACIRA,2019-05-26,45
803,43725,IDERLON,2019-07-04,45
804,27288,LEUDO,2019-07-10,45
1883,24154,EDELIN,2019-11-26,60.0
1904,20307,DENISIELE,2019-03-08,60.0
1930,33235,EZEQUIELI,2019-12-27,60.0
1931,419,ACELINA,2018-01-16,60.0
1934,25957,EDNILSON,2019-05-21,60.0
1938,55552,JULIA,2018-12-06,60.0
811,77407,OZELITO,2019-11-08,45
1943,37836,GILCILEIA,2019-10-09,60.0
813,45941,ISAURINA,2019-09-09,45
1944,52911,JAILDE,2018-03-15,60.0
1953,68969,MASSAI,2019-01-11,60.0
816,55703,GUNNAR,2019-12-11,45
824,6633,ANALUCIA,2019-07-19,60.0
829,12093,KAILANA,2019-11-08,60.0
839,78603,PHALOMA,2019-07-29,60.0
856,11943,CACILA,2019-05-20,60.0
859,24333,EDCASSIO,2019-10-16,60.0
860,2190,ADRIELISON,2019-10-09,60.0
863,87773,SIMELIA,2018-06-07,60.0
866,52929,GLEICE,2019-10-14,60.0
868,56770,CARLENE,2018-03-19,60.0
827,43960,EIGLA,2018-09-17,45
869,88028,SIRLANDIA,2019-11-09,60.0
874,11173,DENITON,2019-08-24,60.0
831,79927,RAMIR,2018-12-25,45
832,28792,ALZEMIR,2018-11-30,45
878,69000,MAXIMILIANA,2019-01-02,60.0
884,32551,EVALDA,2019-02-06,60.0
835,52416,JOECE,2019-06-06,45
894,51162,JONAN,2018-10-11,60.0
899,55087,JUCIELLEN,2019-12-08,60.0
909,41419,ELISIA,2018-11-22,60.0
913,78270,PATREZIO,2019-08-04,60.0
920,67908,MARIVANA,2018-10-19,60.0
924,65908,MATEUS,2019-02-25,60.0
843,81218,RENIVALDO,2018-10-17,45
844,66007,MAIKELLY,2019-11-11,45
845,73381,NELCIDIA,2018-11-29,45
846,60647,LEDINEI,2018-01-25,45
847,94378,VALTERVIR,2019-04-22,45
848,4760,ALEXANDER,2018-06-12,45
926,77886,UOCHITON,2018-12-05,60.0
927,99302,YAMILE,2019-06-12,60.0
851,67031,MARES,2018-11-13,45
852,97385,WILANE,2019-06-24,45
931,69909,MEIRIELEN,2019-12-07,60.0
854,49028,JAQUELILE,2018-03-26,45
948,84015,ROSILDE,2018-01-26,60.0
949,35799,GEISIENE,2018-12-08,60.0
1961,86115,SCHEILLA,2019-04-10,60.0
1971,50158,GENILTON,2019-04-09,60.0
862,3316,ALAN,2018-07-10,45
864,10076,AURELUCI,2018-10-23,45
865,84950,RUSDAEL,2018-02-20,45
1979,88757,STEFANI,2019-12-24,60.0
2011,86170,SECUNDINO,2018-01-03,60.0
2037,59006,CLEBERSON,2018-01-13,60.0
872,57954,KENER,2018-12-13,45
873,91168,TALISSON,2019-11-05,45
2058,98640,WILLK,2018-01-18,60.0
2077,72602,NATHASA,2018-01-23,60.0
2091,16297,CLEUDON,2018-01-27,60.0
879,67462,MARILANE,2018-01-21,45
2102,40240,GUDEMBERG,2018-02-01,60.0
881,61616,LERICE,2018-02-22,45
2111,67688,MARINELZA,2018-02-04,60.0
2112,84357,ROSWITHA,2018-02-05,60.0
2124,9892,AUDES,2018-02-09,60.0
2131,74846,NILZANGELA,2018-02-11,60.0
2132,60389,LAWANY,2018-02-11,60.0
2169,1497,ADESIL,2018-02-28,60.0
2185,45182,IRETE,2018-03-06,60.0
890,32096,ALANA,2018-02-03,45
891,3349,LANESSA,2019-08-15,45
2186,92689,ULISSES,2018-03-07,60.0
2190,93352,VALDECE,2018-03-08,60.0
2194,26203,EDVILMA,2018-03-10,60.0
896,18457,DANILO,2019-01-19,45
2195,73381,NELCIDIA,2018-03-10,60.0
2214,27351,ELGIO,2018-03-17,60.0
2215,79787,RALISON,2018-03-17,60.0
2218,43996,IGRO,2018-03-19,60.0
2219,67887,MARIUDES,2018-03-19,60.0
2221,2889,IAGO,2018-03-20,60.0
904,47482,JACIENE,2019-03-09,45
905,59644,LAISIA,2019-05-31,45
2232,8056,APOENA,2018-03-25,60.0
2235,20671,DERMI,2018-03-25,60.0
908,50322,GEOVANEIDE,2018-01-03,45
2239,59644,LAISIA,2018-03-26,60.0
2241,90878,TEREZILDA,2018-03-26,60.0
2258,10389,AVALDIR,2018-04-02,60.0
914,57139,KATIELI,2019-04-08,45
915,34794,FRANCIVAL,2019-11-11,45
2265,73138,NEIANE,2018-04-04,60.0
917,87927,SINGRID,2018-07-12,45
2268,64540,LUCIANO,2018-04-05,60.0
2277,85072,RUSEVEL,2018-04-08,60.0
921,98557,WILLIANE,2019-12-06,45
922,89983,TALLITA,2019-04-07,45
2286,90002,TALUANE,2018-04-12,60.0
2291,71418,MICAELA,2018-04-14,60.0
928,96001,VIRGINIA,2019-11-07,45
929,16830,CORALI,2018-07-20,45
2293,57154,CATILEIA,2018-04-15,60.0
2297,20250,DENILCE,2018-04-15,60.0
933,100754,ZULMERINDA,2019-11-11,45
934,22780,DIUARI,2018-03-07,45
935,71690,NADMA,2019-06-12,45
936,14085,CIDALIO,2019-02-19,45
2299,58493,KETLIN,2018-04-15,60.0
2305,26844,ALDEMAR,2018-04-18,60.0
2311,45007,IOMAR,2018-04-20,60.0
2312,67747,MARIONOR,2018-04-20,60.0
2313,43725,IDERLON,2018-04-20,60.0
2323,89802,TAIRANE,2018-04-23,60.0
2328,55703,GUNNAR,2018-04-25,60.0
2341,3316,ALAN,2018-04-28,60.0
945,26526,ISMAR,2019-01-02,45
2348,18188,DAMARIS,2018-04-30,60.0
2359,84448,ROSANI,2018-05-06,60.0
2360,31642,ESTEVINO,2018-05-06,60.0
2371,5826,ELVERSON,2018-05-11,60.0
952,30077,ENTONI,2018-12-16,45
962,61826,LEUZI,2018-04-15,60.0
954,6869,ANDERCIO,2018-06-17,45
955,43132,IRLA,2019-05-13,45
968,41605,ELVIDIO,2019-07-24,60.0
957,52734,JHONE,2019-12-28,45
958,40601,ALDO,2018-05-30,45
959,20253,DENILDA,2019-07-23,45
960,83754,ROSEMBERGE,2019-01-16,45
961,93190,VALCILENE,2018-09-22,45
963,83037,RONADIA,2018-04-01,45
964,72058,NAGIR,2018-12-15,45
965,90254,TARCIRA,2019-10-01,45
966,7337,ANEMAR,2018-06-24,45
984,83812,ROSENEIA,2018-10-07,60.0
969,55315,JULIA,2018-02-12,45
991,19518,DEISI,2019-12-11,60.0
971,97976,WERTON,2018-12-08,45
992,42294,IAGO,2019-01-08,60.0
1006,44136,ILDA,2019-06-21,60.0
974,41627,EMANUELA,2019-06-06,45
1013,11183,DENIZETE,2019-08-28,60.0
1019,30456,ERICLEIA,2019-01-31,60.0
977,27381,ELIAK,2019-04-17,45
1022,76831,ORILDE,2019-09-18,60.0
979,75164,NIZIANE,2018-12-25,45
980,83897,ROSEVANE,2018-02-06,45
1024,28434,ELIZABETI,2018-11-17,60.0
982,16287,CLEUDISON,2018-11-16,45
1027,93957,VALDR,2019-04-16,60.0
985,1252,ADENIR,2019-04-17,45
1028,90746,TEMISIA,2018-11-23,60.0
1029,89499,SINIRA,2018-12-29,60.0
1035,72074,NAILAN,2018-11-09,60.0
989,37809,GILCILENE,2018-10-28,45
990,73060,NECI,2018-03-20,45
1038,38704,GISONITA,2018-04-24,60.0
994,2588,AGEL,2018-04-20,45
995,193,ABEL,2018-11-16,45
1040,56962,CASSI,2018-06-15,60.0
997,4646,LAERCIA,2019-02-14,45
1073,62659,LINDINETE,2018-10-01,60.0
999,85482,SAMARONE,2018-04-18,45
2380,92461,IDA,2018-05-14,60.0
2382,20273,DENILTON,2018-05-15,60.0
1002,51577,GIOVAN,2019-04-16,45
2384,43804,IDINEA,2018-05-17,60.0
1004,85760,SANDRILEUZA,2018-02-15,45
2401,1483,ADEVENTINO,2018-05-21,60.0
2403,38618,GISELA,2018-05-22,60.0
2409,42467,ILDENE,2018-05-24,60.0
1009,16932,CRECIA,2018-12-28,45
2419,95550,VERNON,2018-05-27,60.0
2435,9615,ATANASIA,2018-06-01,60.0
2438,24710,EDEVANILSON,2018-06-04,60.0
2440,27287,LEUDI,2018-06-04,60.0
1015,4766,ALEXANDRE,2018-03-04,45
2441,89241,SUZELAINE,2018-06-05,60.0
2444,47990,GILVA,2018-06-06,60.0
1018,25063,EDILIANO,2019-08-28,45
2474,46037,ISLANDA,2018-06-15,60.0
2477,47482,JACIENE,2018-06-19,60.0
2482,47087,EIZABETH,2018-06-20,60.0
2494,78602,FAEL,2018-06-24,60.0
1026,50368,GERCIA,2019-12-15,45
2502,86110,SCHAUANA,2018-06-26,60.0
2512,88221,SMAILY,2018-07-02,60.0
2526,77022,ORIETA,2018-07-09,60.0
2532,68123,MARLIDES,2018-07-10,60.0
2536,81855,RAILDES,2018-07-12,60.0
2548,83754,ROSEMBERGE,2018-07-16,60.0
2549,47645,JACQUELINI,2018-07-16,60.0
1039,10227,AURINEI,2018-11-04,45
2553,36672,GEROLINO,2018-07-17,60.0
2558,765,ADARCI,2018-07-18,60.0
2571,44028,IJOEL,2018-07-21,60.0
1044,67843,MARISTEL,2018-03-31,45
1045,69972,MICELIA,2019-01-11,45
1046,28874,ELOSA,2018-01-15,45
2580,25275,EDINALVA,2018-07-26,60.0
2584,32239,EUNIVALDO,2018-07-29,60.0
2586,28238,ELISMARA,2018-07-30,60.0
1050,55015,JUCENARA,2019-07-09,45
2595,79096,QUESIA,2018-08-03,60.0
2597,26914,ELDMAR,2018-08-03,60.0
1053,78413,PEDRITA,2018-01-15,45
2598,400,ACELIA,2018-08-03,60.0
2600,85508,SAMES,2018-08-03,60.0
1056,39544,GLEICIELLE,2018-09-11,45
1057,19797,DIELICA,2018-09-16,45
1058,22847,DIVALDIR,2019-05-30,45
2609,100194,ZENETE,2018-08-05,60.0
1060,22641,BIRA,2019-09-25,45
2610,4109,ALDENIVIA,2018-08-06,60.0
1062,75150,NIZANGELA,2019-09-25,45
2613,99884,SUIANY,2018-08-07,60.0
2617,30888,ERMA,2018-08-08,60.0
2622,6028,AMABILI,2018-08-10,60.0
2629,67257,MARIDEA,2018-08-13,60.0
1067,25275,EDINALVA,2018-07-26,45
2632,100528,SINEI,2018-08-14,60.0
1069,99414,YASSUO,2018-02-03,45
2637,76753,ONIRCE,2018-08-15,60.0
2644,17491,CINDY,2018-08-16,60.0
1072,97100,WANUSA,2019-09-14,45
1074,28320,ELITANIO,2019-11-30,45
1075,29903,ENILSON,2019-01-27,45
2667,7267,ANITA,2018-08-31,60.0
1077,50626,GESIANI,2018-01-27,45
2675,59820,LANUSE,2018-09-03,60.0
1079,79096,QUESIA,2019-06-21,45
2681,61491,LEONINO,2018-09-04,60.0
2693,24333,EDCASSIO,2018-09-07,60.0
1082,400,ACELIA,2019-06-26,45
2731,53142,JONILSON,2018-09-21,60.0
1084,76849,ORANDO,2019-08-28,45
1085,59846,LARESCA,2019-12-17,45
1086,15455,CLEDINALDO,2018-04-04,45
1087,41577,ELZA,2018-05-30,45
1088,40370,GINALDA,2018-12-30,45
1102,52857,JOIRIS,2019-01-15,60.0
1121,60354,LAUZO,2018-02-23,60.0
1130,87501,SILMIA,2019-05-14,60.0
1092,19873,DELMAIR,2018-09-09,45
1145,8762,ARISON,2018-03-17,60.0
1094,75055,NIUDETE,2019-03-14,45
1148,100243,ZENITE,2018-07-15,60.0
1166,48761,JANICLEA,2018-04-30,60.0
1097,25917,EDNEI,2019-04-25,45
1098,42966,HUBNER,2018-10-05,45
1099,1144,ADELZITA,2019-11-16,45
1100,60532,LEANDRINA,2019-03-23,45
1101,31426,ESMERALDINO,2019-10-27,45
1103,95657,VICENZO,2019-04-03,45
1104,83566,ROSANUBIA,2018-12-28,45
1204,62518,LINDIANE,2018-12-25,60.0
1205,76682,ONERI,2019-10-23,60.0
1208,4656,OLERINDO,2018-05-19,60.0
1218,51229,JONTHAN,2018-12-21,60.0
2741,23042,DJENIFER,2018-09-23,60.0
2743,35474,GEARLISON,2018-09-24,60.0
1111,83344,RONALD,2018-01-09,45
2747,11168,BENITA,2018-09-25,60.0
1113,89818,TAIRONI,2018-08-09,45
1114,5800,ALVECI,2019-12-24,45
2753,67385,MARLAN,2018-09-28,60.0
1116,99584,YORRA,2018-03-22,45
2755,17798,DAISON,2018-09-28,60.0
2756,39774,JOVANI,2018-09-28,60.0
1119,9607,ATAN,2019-12-13,45
2758,50456,GERLANDO,2018-09-29,60.0
1122,55929,JUSCELITO,2019-12-19,45
1123,1067,ADELLE,2019-08-18,45
1124,40106,GREISON,2019-08-29,45
2760,53057,JONATHN,2018-09-29,60.0
2761,13341,CELISVALDO,2018-09-29,60.0
2764,89017,SUETONIO,2018-10-03,60.0
2768,37555,GIANI,2018-10-06,60.0
1129,80289,RULIAN,2019-05-04,45
2780,14269,CELIENE,2018-10-10,60.0
1132,58499,KETIANE,2019-09-22,45
2788,98621,WILLIMA,2018-10-13,60.0
2795,59594,ELIANE,2018-10-16,60.0
2805,17732,DILON,2018-10-20,60.0
1136,89549,TACILA,2018-02-19,45
2830,4651,LERIANA,2018-10-31,60.0
1138,28590,ELISIONE,2018-03-10,45
1139,25358,EDINUZIA,2019-07-11,45
2831,61916,LEZI,2018-11-01,60.0
1141,95089,VANUSI,2019-08-28,45
2841,51577,GIOVAN,2018-11-04,60.0
1143,11614,BOANERGES,2019-05-27,45
2855,8964,ARLEUDO,2018-11-08,60.0
2859,83897,ROSEVANE,2018-11-08,60.0
2860,47591,JACKES,2018-11-08,60.0
2867,90926,TERRY,2018-11-09,60.0
2877,95743,VILANI,2018-11-13,60.0
2879,79889,RAMIRIA,2018-11-14,60.0
1152,11160,DENISE,2018-03-14,45
2883,39334,GLEIBIA,2018-11-16,60.0
1154,63183,LIVERCINO,2019-01-03,45
2885,1432,ADEZITA,2018-11-17,60.0
1156,59517,LIA,2019-11-24,45
2895,8612,ARLANE,2018-11-19,60.0
1158,10843,BASILO,2018-06-28,45
2909,83228,RONILSO,2018-11-25,60.0
2917,9584,ATALIBAS,2018-11-28,60.0
2923,91368,TAUAN,2018-12-01,60.0
2925,14940,CLAUDENOR,2018-12-01,60.0
2931,54763,JOSEMAR,2018-12-04,60.0
2936,97100,WANUSA,2018-12-05,60.0
1165,49190,JARES,2018-04-04,45
1167,71058,MILTON,2018-10-08,45
1168,45297,IRANEUDE,2019-12-08,45
2944,99137,WILIA,2018-12-06,60.0
2953,17007,CREODETE,2018-12-08,60.0
1171,7267,ANITA,2019-12-08,45
2964,33774,FERNANDE,2018-12-14,60.0
1173,31196,ERVANDIR,2019-08-19,45
1174,39407,GLEISON,2019-01-12,45
1175,36336,GENILVALDO,2019-08-13,45
2970,100668,ZORETE,2018-12-16,60.0
1177,43251,IANO,2018-09-19,45
1178,39362,GLEIDSTONE,2019-08-12,45
1179,87911,SINESIO,2018-03-31,45
1180,67257,MARIDEA,2019-06-16,45
1181,68123,MARLIDES,2019-09-16,45
1182,61862,ALESSANDRO,2019-08-26,45
2991,6757,ANATALINO,2018-12-24,60.0
1184,24211,ESHILLEY,2019-09-21,45
3003,71446,MILLA,2018-12-29,60.0
3004,93515,VALDENORA,2018-12-29,60.0
1187,26203,EDVILMA,2019-07-30,45
1188,93349,VALDEJANIO,2019-05-21,45
3025,60623,LEDES,2019-01-07,60.0
1190,86360,SOLIVANIA,2018-12-31,45
3039,8589,ARILZA,2019-01-11,60.0
1192,86430,SEMILDO,2018-11-21,45
3045,55580,GILMARA,2019-01-13,60.0
3067,72559,NATANIELA,2019-01-19,60.0
3101,43513,IDAN,2019-02-01,60.0
1196,59619,LAIRDE,2018-03-31,45
3125,5017,ELIEL,2019-02-06,60.0
3134,62616,LINDEVALDO,2019-02-11,60.0
1199,72160,NILTO,2018-06-11,45
1200,33908,FINELON,2018-01-30,45
3146,26519,EYSHILA,2019-02-15,60.0
3151,58356,KETY,2019-02-16,60.0
3152,69909,MEIRIELEN,2019-02-16,60.0
1206,97670,WILI,2019-06-07,45
3157,22225,DINAIRAN,2019-02-20,60.0
3182,54363,JOSNALDO,2019-03-05,60.0
3184,18749,DARLETI,2019-03-05,60.0
1211,33118,EWERTON,2019-10-12,45
3187,20985,DEUSIRE,2019-03-06,60.0
3198,47630,JACOMINA,2019-03-12,60.0
3209,57339,KAWA,2019-03-14,60.0
3210,88076,SIRNANDES,2019-03-14,60.0
1216,97348,WIDERSON,2018-01-15,45
1217,12092,KAILAN,2018-06-04,45
1219,78394,PAULO,2018-03-23,45
1220,2875,IADSON,2018-01-05,45
1221,54363,JOSNALDO,2018-02-26,45
3215,22103,DELSILENE,2019-03-15,60.0
1223,68538,MARIA,2018-01-10,45
1224,38996,GLAIDISON,2018-06-03,45
1225,16666,CLODOVIL,2019-08-24,45
1227,69817,MERITO,2018-06-26,45
1226,66958,MARDILSON,2018-03-19,60.0
1237,44694,INAIZA,2019-10-03,60.0
1230,67085,MARGELIA,2018-04-26,45
1251,97509,WELISANDRA,2018-11-17,60.0
1262,36832,GERIMIAS,2019-04-27,60.0
1265,10639,AZANIAS,2018-10-22,60.0
1234,96465,WALDELINA,2019-12-01,45
1272,62929,LIRANEIDE,2019-04-13,60.0
1236,39202,GLECIA,2019-08-26,45
1238,24182,EDES,2019-09-29,45
1273,40735,AMILSON,2019-09-05,60.0
1240,27265,ALESSANDRA,2019-05-27,45
1241,67688,MARINELZA,2019-06-28,45
1280,10768,BARBARA,2019-09-25,60.0
1243,92345,HUBERT,2019-04-26,45
1293,25217,EDINEILA,2018-09-25,60.0
1305,78206,PAULINA,2018-02-14,60.0
1308,97857,WERBERTE,2018-03-11,60.0
1319,22800,DEOLINDA,2019-12-11,60.0
1248,68375,MARON,2018-06-01,45
1324,76419,ELI,2018-12-06,60.0
1250,52205,JOCIEL,2018-10-11,45
1252,30359,ERENILDO,2019-07-07,45
1253,30238,ERBSON,2019-10-30,45
1335,44869,INGRA,2018-10-30,60.0
1349,77093,HORIZONTINA,2018-02-03,60.0
1351,62104,LEIDANE,2018-06-19,60.0
1355,50821,JESU,2018-07-26,60.0
1258,97251,WDISON,2019-07-22,45
1259,73101,NEDINALDO,2018-08-01,45
1356,35739,JEIMES,2018-10-01,60.0
1359,36205,GENEROSA,2018-09-16,60.0
3222,30651,ERIOSVALDO,2019-03-17,60.0
1264,6327,AMISTERDAN,2018-08-13,45
3227,55087,JUCIELLEN,2019-03-19,60.0
1267,63683,LORISNEI,2019-05-17,45
3228,59049,CLEISIANE,2019-03-19,60.0
3234,62891,LIONICIO,2019-03-22,60.0
3236,91271,TANUS,2019-03-23,60.0
3238,49053,JAQUELI,2019-03-23,60.0
3249,51188,JHONATTAN,2019-03-28,60.0
1275,61953,ELIANEIDE,2019-04-25,45
3255,66540,MARIANE,2019-03-30,60.0
3260,54482,JOSVANIA,2019-04-02,60.0
1278,44793,INEIDE,2019-02-13,45
1279,67299,MARLA,2019-08-02,45
3268,16146,CLERO,2019-04-05,60.0
1282,43804,IDINEA,2018-06-12,45
3274,73415,NILCO,2019-04-06,60.0
1284,77022,ORIETA,2019-04-02,45
3276,42651,ISAO,2019-04-08,60.0
3283,77420,OZENICE,2019-04-09,60.0
3284,34600,FRANCINALDA,2019-04-09,60.0
3289,80200,RARIANY,2019-04-10,60.0
3298,36336,GENILVALDO,2019-04-16,60.0
3300,61616,LERICE,2019-04-17,60.0
3313,99464,IORAN,2019-04-21,60.0
3317,81294,RESEMEIRE,2019-04-23,60.0
3325,51263,JUAN,2019-04-26,60.0
1295,66047,MILES,2019-08-21,45
3326,95767,VALCIMARA,2019-04-27,60.0
1297,48716,JANESI,2018-08-20,45
1298,64581,LUDIELI,2019-06-08,45
1299,28310,ELISVANI,2019-06-14,45
3327,39095,GLAUCINEI,2019-04-27,60.0
3343,67032,MARESA,2019-05-02,60.0
1302,89017,SUETONIO,2019-02-09,45
3344,17159,CRISIANE,2019-05-03,60.0
3358,82440,ROBETI,2019-05-08,60.0
3359,11723,BRAULO,2019-05-09,60.0
1307,77028,ORILDA,2018-11-11,45
3375,89008,SUERLI,2019-05-18,60.0
1310,17491,CINDY,2019-01-09,45
3392,90468,TAUAN,2019-05-27,60.0
3411,46332,ITACIANA,2019-06-05,60.0
1313,61837,LEVIA,2019-07-16,45
1314,79787,RALISON,2019-04-26,45
1315,92980,UZIMAR,2019-07-06,45
3414,55244,JUDILSON,2019-06-07,60.0
1317,25261,EDINAEL,2019-01-05,45
1318,6738,ANAZIR,2019-12-14,45
3418,91486,TAISSA,2019-06-08,60.0
1321,100733,SELENILDA,2018-04-19,45
3436,38411,GIOCONDO,2019-06-12,60.0
3445,14648,CLAISTON,2019-06-14,60.0
3456,67617,MARINILDE,2019-06-18,60.0
3457,94442,VAMBASTER,2019-06-19,60.0
3461,87388,SELCO,2019-06-20,60.0
1328,99291,LEILA,2019-01-17,45
3465,95731,VILANDER,2019-06-21,60.0
3471,19518,DEISI,2019-06-23,60.0
3480,36565,GEORGIA,2019-06-27,60.0
3491,93500,VALDENISSE,2019-06-29,60.0
3493,1276,ADENILSE,2019-06-30,60.0
3504,88348,SELENILDA,2017-12-31,60.0
1336,71232,MORVAN,2019-05-12,45
3508,9783,AUANDA,2018-01-02,60.0
1338,90570,TAILSON,2019-12-24,45
3509,59820,LANUSE,2018-01-03,60.0
3510,51162,JONAN,2018-01-04,60.0
1341,64627,LUDMILLA,2017-12-31,45
1342,16555,CELINEIA,2019-11-25,45
3515,695,ADAILTON,2018-01-06,60.0
3516,8235,ARATUZA,2018-01-06,60.0
3519,42227,EVAIR,2018-01-06,60.0
3520,1492,ADEVITA,2018-01-06,60.0
3521,34604,FRANCINALRA,2018-01-06,60.0
1348,28306,ELISVAN,2019-11-19,45
1350,58514,KEVILA,2019-08-05,45
1352,74343,NICIANE,2019-04-23,45
1353,49167,JARDILENA,2019-07-15,45
3526,55703,GUNNAR,2018-01-08,60.0
1357,71446,MILLA,2018-01-17,45
1358,9595,ATALMIR,2019-10-20,45
3541,10229,AURINIO,2018-01-15,60.0
1361,60225,LAURICA,2019-10-22,45
1362,95836,VILMARA,2018-12-04,45
1363,15220,CLAUDIR,2019-07-18,60.0
1365,66017,MAIKEL,2018-08-11,45
1366,63671,LORINES,2019-11-28,60.0
1368,36296,GENILMA,2019-11-14,45
1376,53477,JORLAN,2019-02-10,60.0
1370,30995,ERNAND,2018-10-03,45
1382,19099,DAYWSON,2019-06-25,60.0
1389,41660,EMILIO,2019-01-16,60.0
1373,89386,SUZETE,2017-12-31,45
1398,70295,MILAS,2018-12-15,60.0
1375,54978,JUCILEIA,2019-02-04,45
1413,95569,VERONICO,2018-01-10,60.0
1425,78735,POLIANDRA,2019-10-15,60.0
1379,33657,FELICIDADE,2018-10-25,45
1426,42227,EVAIR,2018-06-10,60.0
1381,7659,ANISIANE,2019-12-04,45
1383,53438,JORGITA,2018-04-15,45
1428,71243,MOZARINA,2019-04-13,60.0
1385,82547,ROCI,2018-08-08,45
1386,1497,ADESIL,2019-09-04,45
1387,85599,SAMILLA,2018-01-12,45
1388,233,ABINOAN,2019-04-13,45
1429,37959,GILDETINA,2018-04-29,60.0
1391,96456,WALDELI,2018-06-23,45
1437,35426,GEANA,2019-08-07,60.0
1393,7839,ANTERIA,2018-10-24,45
1453,79098,QUESIO,2018-11-10,60.0
1457,85755,SANDRIENE,2019-02-04,60.0
1396,64794,LIRA,2019-11-29,45
1470,59009,CLEDILSON,2019-01-26,60.0
1399,25365,EDIOMAR,2018-06-22,45
1479,67032,MARESA,2019-05-03,60.0
1481,68480,MARTONI,2019-08-09,60.0
1484,62616,LINDEVALDO,2018-09-20,60.0
1486,13882,SHILEY,2019-06-29,60.0
1492,1887,ADELINA,2019-05-08,60.0
3544,55580,GILMARA,2018-01-16,60.0
1406,29283,EMANUELE,2018-05-18,45
3548,30492,ERIDSON,2018-01-18,60.0
1408,5017,ELIEL,2018-09-27,45
3552,54346,JOSMAEL,2018-01-19,60.0
1410,98653,WELLTON,2019-10-13,45
3555,93917,VALDO,2018-01-20,60.0
1412,43769,IDAEL,2018-01-11,45
1414,19776,DELFIM,2018-09-04,45
3576,580,ADAISE,2018-01-28,60.0
3590,52694,JOANA,2018-01-31,60.0
3591,54466,JOSIELITON,2018-01-31,60.0
3601,83344,RONALD,2018-02-02,60.0
3603,96551,WALDICE,2018-02-04,60.0
1420,60782,LEIDIMARA,2019-10-30,45
3613,22183,DIMITRI,2018-02-07,60.0
1422,99629,YOUNG,2018-12-01,45
3624,39362,GLEIDSTONE,2018-02-10,60.0
3630,670,ADELMA,2018-02-12,60.0
3651,86481,ZENI,2018-02-19,60.0
3653,47337,IZIQUIEL,2018-02-20,60.0
1431,2200,ADRIELSO,2019-05-30,45
3654,70070,MICHELE,2018-02-20,60.0
3670,98934,WILLIANE,2018-02-25,60.0
3673,30241,ERCILIA,2018-02-27,60.0
1435,14032,CIDALIO,2019-08-30,45
1436,79431,RAICIANE,2019-05-17,45
3676,24051,DUSTIN,2018-02-27,60.0
1439,37647,GIDEVAN,2018-08-31,45
3678,81422,RAIANI,2018-03-01,60.0
1441,26472,ALDO,2018-10-29,45
3680,64858,LUIZINHA,2018-03-01,60.0
1443,18795,DARLON,2019-09-15,45
1444,35042,FREDA,2019-04-10,45
1445,3253,ELIAB,2019-05-15,45
3684,18090,DALVACI,2018-03-02,60.0
1447,88496,SONIZE,2019-07-29,45
1448,40544,ADSON,2018-11-10,45
1449,22225,DINAIRAN,2018-04-21,45
1450,57296,KAUANDERSON,2018-12-15,45
3691,50821,JESU,2018-03-05,60.0
3702,27600,LIDINEIDE,2018-03-12,60.0
3704,56550,KALIL,2018-03-13,60.0
1455,84420,ROSA,2019-11-05,45
1456,78730,POLANA,2018-01-26,45
3706,34600,FRANCINALDA,2018-03-13,60.0
3707,99884,SUIANY,2018-03-13,60.0
3720,84920,RAELI,2018-03-19,60.0
3736,2893,AICE,2018-03-25,60.0
3742,36835,GERINALDO,2018-03-26,60.0
1463,71644,NADIM,2018-04-04,45
1464,47645,JACQUELINI,2018-11-14,45
1465,7877,ANTONE,2018-03-20,45
3746,77397,OZIEL,2018-03-28,60.0
1467,88242,SODARIO,2019-10-31,45
